crop,region,month,quantity_kg,price_per_kg
Maize,Senegal,8,100.0,173.12
Maize,Niger,3,10.0,204.26
Irish Potato,Senegal,9,500.0,262.24
Cocoa,Guinea-Bissau,7,50.0,2094.98
Irish Potato,Morocco,5,500.0,4.4
Beans,Congo (Republic),2,100.0,664.75
Cocoa,Somalia,4,250.0,1746.05
Irish Potato,Ethiopia,1,1000.0,57.39
Onion,Seychelles,10,25.0,8.64
Beans,Benin,7,25.0,619.05
Coffee,Sao Tome and Principe,5,1000.0,80.5
Coffee,Gabon,1,100.0,2249.64
Beans,Cameroon,9,100.0,637.78
Plantain,Namibia,12,100.0,8.56
Irish Potato,Somalia,6,500.0,236.14
Cocoa,Egypt,3,250.0,145.69
Cocoa,Comoros,10,10.0,1338.1
Irish Potato,Mozambique,6,250.0,26.9
Plantain,Guinea-Bissau,7,100.0,262.52
Cassava,Cabo Verde,6,250.0,23.46
Cocoa,Malawi,1,500.0,4452.02
Plantain,Madagascar,2,100.0,2407.42
Onion,Angola,5,100.0,549.2
Cassava,Ghana,12,500.0,2.58
Cocoa,Botswana,11,25.0,37.27
Beans,Mozambique,2,100.0,74.33
Coffee,Mozambique,5,50.0,280.23
Rice,Chad,5,10.0,535.78
Irish Potato,Rwanda,9,100.0,618.04
Coffee,Liberia,12,25.0,665.71
Beans,Guinea-Bissau,2,50.0,688.65
Onion,Morocco,8,50.0,6.15
Rice,Cabo Verde,5,1000.0,78.39
Beans,Niger,6,25.0,609.79
Cassava,Seychelles,4,500.0,2.81
Irish Potato,Djibouti,1,10.0,99.07
Tomato,Guinea-Bissau,9,25.0,498.82
Cocoa,Mali,7,25.0,1877.82
Maize,Sao Tome and Principe,6,500.0,6.58
Rice,Mauritius,2,250.0,37.77
Onion,Burkina Faso,10,50.0,374.36
Tomato,Lesotho,3,50.0,10.91
Onion,Burundi,3,250.0,1454.44
Cassava,Togo,12,250.0,103.29
Onion,Mali,4,10.0,312.48
Beans,Lesotho,6,500.0,16.48
Cassava,Lesotho,9,100.0,3.64
Tomato,Malawi,7,100.0,1281.57
Coffee,Eritrea,7,100.0,56.53
Cassava,Angola,5,500.0,206.15
Plantain,Cameroon,4,100.0,282.11
Onion,Namibia,2,25.0,9.09
Irish Potato,Rwanda,12,500.0,721.26
Onion,Togo,12,25.0,320.29
Tomato,Madagascar,7,50.0,3204.5
Beans,Sierra Leone,12,50.0,29973.83
Onion,Egypt,8,100.0,32.51
Coffee,Tunisia,3,25.0,11.91
Cassava,Guinea,12,1000.0,1404.57
Maize,Sao Tome and Principe,11,1000.0,6.25
Tomato,Libya,6,50.0,3.43
Rice,Mozambique,5,50.0,58.57
Irish Potato,Sao Tome and Principe,5,25.0,9.87
Coffee,Cote d'Ivoire,1,10.0,2344.66
Cocoa,Central African Republic,9,25.0,1975.9
Irish Potato,Sudan,1,25.0,324.3
Coffee,Senegal,4,1000.0,2125.02
Beans,Cameroon,12,10.0,829.27
Cassava,Cameroon,1,250.0,105.05
Cassava,Liberia,12,250.0,33.23
Beans,Comoros,11,500.0,540.1
Maize,Rwanda,10,10.0,417.36
Coffee,Equatorial Guinea,2,100.0,2300.97
Rice,Uganda,7,50.0,2931.08
Beans,Angola,8,100.0,959.27
Cocoa,Burundi,9,10.0,9101.42
Maize,Zambia,2,250.0,9.23
Irish Potato,Sierra Leone,6,100.0,9560.27
Cocoa,Algeria,8,10.0,413.41
Cassava,Sierra Leone,6,25.0,5169.25
Irish Potato,Mauritania,12,1000.0,20.38
Cassava,Ghana,2,50.0,3.44
Tomato,Mozambique,12,1000.0,35.48
Plantain,Cote d'Ivoire,4,25.0,294.33
Cocoa,Somalia,12,10.0,1395.54
Beans,Mauritania,5,25.0,43.31
Rice,Equatorial Guinea,12,25.0,489.45
Plantain,Central African Republic,2,25.0,309.33
Beans,Cabo Verde,7,10.0,99.05
Tomato,Chad,10,10.0,479.21
Plantain,Namibia,10,50.0,7.7
Coffee,Liberia,9,1000.0,565.06
Plantain,Benin,6,25.0,323.14
Cassava,Cote d'Ivoire,8,100.0,128.47
Cassava,Benin,1,50.0,122.27
Cocoa,Burundi,2,500.0,8026.55
Beans,Togo,9,10.0,705.59
Cocoa,Tanzania,3,1000.0,6795.22
Plantain,Seychelles,8,250.0,5.5
Irish Potato,Cameroon,10,100.0,296.33
Coffee,South Sudan,11,100.0,9655.48
Onion,Morocco,3,25.0,5.12
Beans,Kenya,2,50.0,162.97
Rice,Ethiopia,7,50.0,96.35
Beans,Gabon,3,250.0,639.14
Irish Potato,Uganda,9,1000.0,1611.43
Irish Potato,Eritrea,6,100.0,7.14
Beans,Mozambique,3,500.0,65.0
Irish Potato,Morocco,1,50.0,5.85
Maize,Comoros,8,250.0,121.45
Coffee,Mauritius,8,10.0,188.42
Plantain,Burkina Faso,7,1000.0,228.93
Coffee,Uganda,3,500.0,14606.64
Beans,Seychelles,12,500.0,15.43
Maize,Cote d'Ivoire,9,250.0,166.77
Plantain,Mauritius,3,25.0,26.18
Maize,Malawi,6,100.0,542.47
Irish Potato,Senegal,12,500.0,328.13
Cassava,Mauritania,2,1000.0,7.37
Irish Potato,Cabo Verde,9,10.0,47.69
Irish Potato,Ghana,12,500.0,8.09
Irish Potato,Eswatini,9,1000.0,7.26
